意向学员微信号,是否报名,绑定日期,出现次数
cartoonabc_J,未报名,20250829,2
Lucky-linlin518,未报名,20251030,2
wlpp526,未报名,20251031,2
wxid_xbu0ml99c10022,未报名,20251102,2
shmily329334,未报名,20251111,2
wdy20045634,未报名,20251114,2
yanjun5880393,未报名,20251126,2
guoyao939394,已报名,20251128,2
hua1478876919,未报名,20251230,2
XJM19920108,未报名,20260115,2
yangeryoung,未报名,20260117,2
A105150443,未报名,20260123,2
Yl88272727,未报名,20260123,2
ii112358,未报名,20260124,2
xixi2387984651,未报名,20260127,2
lang384318505,未报名,20260201,2
wxid_byftpmhqifkq21,已报名,20260201,2
xiaominmin22688,未报名,20260202,2
lwfhzdxppll,未报名,20260203,2
irene_1000,未报名,20260224,2
dinglin8858,未报名,20260225,2
Moxy2026,未报名,20260302,2
accd91413,未报名,20260302,2
wxid_1bml8rl0dpfm21,未报名,20260309,2
lixuefeng0055,未报名,20260315,2
ai1ni2bu3,未报名,20260316,2
Y3305yuu,未报名,20260320,2
zf520wjy,已报名,20260321,2
pangxiao0628,未报名,20260321,2
qq314388231,未报名,20260322,2
Timy_love,已报名,20260323,2
zengboqing1105,已报名,20260323,2
wxid_7n00alnpqtsr21,已报名,20260323,2
my15216332618,已报名,20260323,2
GHchouchou,未报名,20260323,2
akinou,未报名,20260327,2
xinyanyang2024,未报名,20260330,2
zm6688123456,未报名,20260331,2
ran5556668,未报名,20260331,2
yqc20151123,未报名,20260331,2
fuliya1016,未报名,20260331,2
zy15097465644,未报名,20260401,2
onlymeLCFstyle,未报名,20260408,2
wxid_pblmgb8xtwp922,未报名,20260410,2
lzn120488492,未报名,20260411,2
